referencia,descripcion,stock_piezas,precio_publico_pwa,precio_taller_referencia,marca,activo
KTR-4016,Terminal Dirección Optra DER,2,65731,54776,Chevrolet,True
KSL-1005,Bieleta Estab. Luv Dmax 4x4 RT50 Del IZQ,2,58646,48871,Chevrolet,True
KBJ-4013,Rótula Luv 2300 SUP,2,72651,60543,Chevrolet,True
KTR-4035,Terminal Dirección Sail IZQ,2,64046,53372,Chevrolet,True
KBJ-4001,Rótula Aveo-Sail,2,58243,48536,Chevrolet,True
KTR-4034,Terminal Dirección Sail DER,2,64046,53372,Chevrolet,True
KBJ-4008,Rótula Luv 2300 4x4 D-Max 4x2-4x4 Trooper INF (x2),2,102786,85655,Chevrolet,True
KTR-4019,Terminal Dir Spark GT 1.2,2,66060,55050,Chevrolet,True
KTR-4015,Terminal Dir Optra IZQ,2,65731,54776,Chevrolet,True
KTR-4002,Terminal Dir Aveo DER,2,60824,50687,Chevrolet,True
KTR-4003,Terminal Dir Aveo IZQ,2,60824,50687,Chevrolet,True
KSL-1006,Bieleta Estab. Luv D-Max 4x4 RT-50 Del DER,2,58646,48871,Chevrolet,True
KSL-1004,Bieleta Estab. Spark GT,2,48412,40343,Chevrolet,True
KRE-3015,Terminal Axial Spark Chronos-Matiz,2,53812,44844,Chevrolet,True
KRE-3002,Terminal Axial Aveo DER,2,55497,46247,Chevrolet,True
KSL-1010,Bieleta Estab. Optra Del DER,2,56064,46720,Chevrolet,True
KSL-1011,Bieleta Estab. Optra Del IZQ,2,56064,46720,Chevrolet,True
KRE-3013,Terminal Axial Sail,2,54691,45576,Chevrolet,True
KRE-3026,Terminal Axial Captiva 3.2 Tracker II 368mm-M14,2,62747,52289,Chevrolet,True
KSA-CH043,Amortiguador Captiva 18-08 2.4 Del IZQ,1,294504,245420,Chevrolet,True
KSA-CH042,Amortiguador Captiva 18-08 2.4 Del DER,1,294504,245420,Chevrolet,True
KBJ-4091,Rótula Cobalt-Tracker-Sonic-Onix,2,67415,56179,Chevrolet,True
KTR-4018,Terminal Dir Spark Chronos / Daewoo Matiz-Tico,2,47039,39199,Chevrolet/Daewoo,True
KSA-DA001,Amortiguador Spark 7.24 / Daewoo Matiz II Del DER,1,159649,133041,Chevrolet/Daewoo,True
KSA-DA002,Amortiguador Spark 7.24 / Daewoo Matiz II Del IZQ,1,159649,133041,Chevrolet/Daewoo,True
KSL-1001,Bieleta Estab. Aveo / Allegro,2,48741,40618,Chevrolet/Mazda,True
KSL-1013,Bieleta Estab. Swift-Esteem-Vitara / Nissan Sentra,2,46874,39062,Chevrolet/Nissan,True
KTR-4333,Terminal Dirección Fiesta 18-12 IZQ,2,50023,41686,Ford,True
KTR-4332,Terminal Dir Ford Fiesta 18-12 DER,2,50023,41686,Ford,True
KRE-3024,Terminal Axial Ford Fiesta 18-12 SE,2,53318,44432,Ford,True
KSA-FO001,Amortiguador Ford Fiesta Del IZQ,1,242217,201847,Ford,True
KSA-FO002,Amortiguador Ford Fiesta Del DER,1,242217,201847,Ford,True
KRE-3103,Terminal Axial Atos-Santro,2,49290,41075,Hyundai,True
KBJ-4021,Rótula Hyundai Atos-Santro,2,51963,43303,Hyundai,True
KBJ-4020,ROTULA HYUNDAI ACCENT VISION-KIA SEPHIA,2,57675,48063,Hyundai/Kia,True
KTR-4204,Terminal Dir H Atos-Santro-i10 / Kia Picanto-Stylus,2,45922,38268,Hyundai/Kia,True
KTR-4213,Terminal Dir Accent Vision IZQ / Kia Rio Xcite IZQ,2,66939,55783,Hyundai/Kia,True
KTR-4212,Terminal Dir Accent Vision DER / Kia Rio Xcite DER,2,66939,55783,Hyundai/Kia,True
KSL-2014,Bieleta Estab. Hyundai i10 Del DER / Grand i10 / Elantra / Kia Picanto Morning,2,49052,40877,Hyundai/Kia,True
KRE-3102,Terminal Axial Accent Vision / Kia Rio Xcite,2,63882,53235,Hyundai/Kia,True
KSL-2003,Bieleta Estab. Accent Vision / Kia Rio Xcite IZQ,2,52037,43364,Hyundai/Kia,True
KSL-2002,Bieleta Estab. Accent Vision / Kia Rio Xcite DER,2,52037,43364,Hyundai/Kia,True
KSL-2013,Bieleta Estab. Hyundai i10 Del IZQ / Grand i10 / Elantra / Kia Picanto Morning,2,49052,40877,Hyundai/Kia,True
KSA-HY014,Amortiguador Accent Vision / Kia Rio Xcite DEL DER,1,230061,191717,Hyundai/Kia,True
KSA-HY015,Amortiguador Accent Vision / Kia Rio Xcite DEL IZQ,1,230061,191717,Hyundai/Kia,True
KBJ-4023,Rótula Hyundai i10 EON / Kia Picanto Morning Presión,2,51963,43303,Hyundai/Kia,True
KSA-HY016,Amortiguador Accent Vision / Kia Rio Xcite TRAS (x2),2,131144,109287,Hyundai/Kia,True
KSA-KI024,Amortiguador Picanto ION Delantero Der GAS,1,181326,151105,Kia,True
KTR-4217,Terminal Dirección Picanto 17-12 ION Xtreme 1.2 IZQ,2,72651,60543,Kia,True
KTR-4223,Terminal Dirección Picanto 20-18 ION IZQ,2,67507,56256,Kia,True
KTR-4222,Terminal Dir Kia Picanto 20-18 ION DER,2,67507,56256,Kia,True
KSA-KI025,Amortiguador Kia Picanto 17-13 ION Del IZQ GAS,1,181326,151105,Kia,True
KRE-3114,Terminal Axial Kia Picanto ION / Hyundai i10 Hidráulico,2,55735,46446,Kia/Hyundai,True
KBJ-4030,Rótula Kia Picanto ION-Spice 1 Soul / Hyundai i10 Grand Presión,2,51707,43089,Kia/Hyundai,True
KBJ-4042,Rótula BT-50 4x2 4x4 SUP Gasol B2000-2200 SUP,2,63644,53036,Mazda,True
