referencia,nombre,descripcion,precio_unitario_cop,cantidad_pedido,subtotal_cop,proveedor,dias_reposicion,stock_actual
KSA-CH009-O,Amortiguador Del,Chevrolet Spark Cronos Der ,78450.0,1.0,78450,KTC,,1
KSA-CH010-O,Amortiguador Del,Chevrolet Spark Cronos Izq,78450.0,1.0,78450,KTC,,1
KSA-CH042,Amortiguador Del,Chevrolet captiva Der ,152460.0,50.0,7623000,KTC,13,1
KSA-CH043,Amortiguador Del,Chevrolet captiva Izq,152460.0,50.0,7623000,KTC,4,1
KSA-DA001,Amortiguador Del,Chevrolet spark Der,78800.0,150.0,11820000,KTC,8,1
KSA-DA002,Amortiguador Del,Chevrolet Spark Izq ,78800.0,100.0,7880000,KTC,1,1
KSA-FO001,Amortiguador Del,Ford Fiesta SE Izq ,123900.0,100.0,12390000,KTC,9,1
KSA-FO002,Amortiguador Del,Ford Fiesta SE Der ,123900.0,50.0,6195000,KTC,12,1
KSA-HY014,Amortiguador Del,Hyundai accent vision Der gas,117260.0,100.0,11726000,KTC,2,1
KSA-HY015,Amortiguador Del,Hyundai accent vision Izq gas ,117260.0,50.0,5863000,KTC,15,1
KSA-HY016,Amortiguador Del,Hyundai accent vision tr gas ,63230.0,50.0,3161500,KTC,3,2
KSA-KI024-O,Amortiguador Del,Kia Picanto ion Der,90640.0,50.0,4532000,KTC,11,1
KSA-KI025-O,Amortiguador Del,Kia Picanto ion Izq,90640.0,150.0,13596000,KTC,15,1
KSA-MA001,Amortiguador Del,Mazda 2 Der gas,119330.0,100.0,11933000,KTC,9,1
KSA-MA002,Amortiguador Del,Mazda 2 Izq  gas,119330.0,50.0,5966500,KTC,8,1
KSA-MA003,Amortiguador Del,Mazda 3\5 Der,131160.0,1.0,131160,KTC,,1
KSA-MA004,Amortiguador Del,Mazda 3\5 Izq,131160.0,1.0,131160,KTC,,1
KSA-MA018,Amortiguador Del,Ford Fiesta SE (Mazda 2) TR,73260.0,1.0,73260,KTC,,
KSA-RE002,Amortiguador Del,Renault Twingo 16v Der,101900.0,1.0,101900,KTC,,1
KSA-RE003,Amortiguador Del,Renault Twingo 16v Izq,101900.0,1.0,101900,KTC,,1
KSA-RE010,Amortiguador Del,Renault Sandero\Logan ,86500.0,1.0,86500,KTC,,2
KSA-RE028,Amortiguador Del,Renault Kwid ,108060.0,1.0,108060,KTC,,2
KSA-RE041,Amortiguador Del,Renault Kangoo 09-18,132400.0,1.0,132400,KTC,,0
KSA-RE047,Amortiguador Del,Renault clio campus ,129320.0,1.0,129320,KTC,,2
KSA-RE004,Amortiguador TR,Renault Twingo Tr,82500.0,1.0,82500,KTC,,2
KSA-RE009,Amortiguador TR,Renault Sandero\Logan Tr ,78190.0,1.0,78190,KTC,,2
